DrugBank_ID,Protein_UID,Action,Gene_Name
DB00598,P10635,substrate,CYP2D6
DB00598,P10635,inhibitor,CYP2D6
DB00598,P33261,substrate,CYP2C19
DB00598,P22309,substrate,UGT1A1
DB00598,P16662,substrate,UGT2B7
DB00598,O60656,substrate,UGT1A9
DB00599,P14867,potentiator,GABRA1
DB00599,P47869,potentiator,GABRA2
DB00599,P34903,potentiator,GABRA3
DB00599,P48169,potentiator,GABRA4
DB00599,P31644,potentiator,GABRA5
DB00599,Q16445,potentiator,GABRA6
DB00599,P43681,antagonist,CHRNA4
DB00599,P36544,antagonist,CHRNA7
DB00599,P42262,antagonist,GRIA2
DB00599,Q13002,antagonist,GRIK2
DB00599,O00519,inhibitor,FAAH
DB00599,P08684,substrate,CYP3A4
DB00599,P33261,substrate,CYP2C19
DB00601,P27338,inhibitor,MAOB
DB00601,P21397,inhibitor,MAOA
DB00602,Q17328,binder,glc-2
DB00602,G5EBR3,binder,glc-1
DB00602,P08684,substrate,CYP3A4
DB00602,P10635,substrate,CYP2D6
DB00602,P05181,substrate,CYP2E1
DB00603,P06401,agonist,PGR
DB00603,P03372,agonist,ESR1
DB00603,P08183,inhibitor,ABCB1
DB00603,P14867,inhibitor,GABRA1
DB00603,P08684,substrate,CYP3A4
DB00603,P08684,inducer,CYP3A4
DB00603,P10632,inhibitor,CYP2C8
DB00603,P26439,inhibitor,HSD3B2
DB00603,P11712,inhibitor,CYP2C9
DB00603,P04800,substrate,Cyp3a1
DB00604,Q13639,agonist,HTR4
DB00604,P46098,agonist,HTR3A
DB00604,P28223,agonist,HTR2A
DB00604,Q12809,inhibitor,KCNH2
DB00604,P11509,substrate,CYP2A6
DB00604,P20813,substrate,CYP2B6
DB00604,P33261,substrate,CYP2C19
DB00604,P33261,inhibitor,CYP2C19
DB00604,P10632,substrate,CYP2C8
DB00604,P11712,inhibitor,CYP2C9
DB00604,P10635,inhibitor,CYP2D6
DB00604,P08684,substrate,CYP3A4
DB00604,P20815,substrate,CYP3A5
DB00604,P24462,substrate,CYP3A7
DB00605,P35354,inhibitor,PTGS2
DB00605,P15121,inhibitor,AKR1B1
DB00605,P23219,inhibitor,PTGS1
DB00605,P27361,inhibitor,MAPK3
DB00605,Q03181,negative modulator,PPARD
DB00605,Q9Y5Y4,antagonist,PTGDR2
DB00605,O60218,inhibitor,AKR1B10
DB00605,P04798,inhibitor,CYP1A1
DB00606,P54710,inhibitor,FXYD2
DB00606,P00915,inhibitor,CA1
DB00606,P00918,inhibitor,CA2
DB00606,P00915,inhibitor,CA1
DB00606,Q6FHJ7,inhibitor,SFRP4
DB00607,Q7CRA4,inhibitor,pbp1b
DB00607,P0A3M6,inhibitor,penA
DB00607,Q8DNB6,inhibitor,pbp2a
DB00607,Q75Y35,inhibitor,pbp3
DB00607,Q8DR59,inhibitor,pbpA
DB00607,P05177,inducer,CYP1A2
DB00607,P08684,inducer,CYP3A4
DB00608,Q16570,modulator,ACKR1
DB00608,P09210,inhibitor,GSTA2
DB00608,P01375,inhibitor,TNF
DB00608,Q9NR96,inhibitor,TLR9
DB00608,Q8ILQ7,inhibitor,GST
DB00608,P09429,inhibitor,HMGB1
DB00608,P09488,inhibitor,GSTM1
DB00608,Q9BYF1,modulator,ACE2
DB00608,P10632,substrate,CYP2C8
DB00608,P08684,substrate,CYP3A4
DB00608,P20815,substrate,CYP3A5
DB00608,P10635,substrate,CYP2D6
DB00608,P10635,inhibitor,CYP2D6
DB00608,P04798,substrate,CYP1A1
DB00609,P9WGR1,inhibitor,inhA
DB00609,Q16236,inhibitor,NFE2L2
DB00609,P9WIE5,other/unknown,katG
DB00610,P14416,agonist,DRD2
DB00610,P35348,agonist,ADRA1A
DB00611,P41145,agonist,OPRK1
DB00611,P41143,agonist,OPRD1
DB00611,P35372,antagonist,OPRM1
DB00612,P08588,antagonist,ADRB1
DB00612,P07550,antagonist,ADRB2
DB00612,P08684,substrate,CYP3A4
DB00613,P50135,inhibitor,HNMT
DB00613,P10632,substrate,CYP2C8
DB00613,P04798,substrate,CYP1A1
DB00613,Q16678,substrate,CYP1B1
DB00613,P10635,inhibitor,CYP2D6
DB00613,P11712,inhibitor,CYP2C9
DB00614,P21397,inhibitor,MAOA
DB00614,P27338,inhibitor,MAOB
DB00615,P0A7Z4,inhibitor,rpoA
DB00615,P0A8V2,inhibitor,rpoB
DB00615,P0A8T7,inhibitor,rpoC
DB00615,P07900,other/unknown,HSP90AA1
DB00615,P14625,other/unknown,HSP90B1
DB00615,P33261,inducer,CYP2C19
DB00615,P20813,inducer,CYP2B6
DB00615,P10632,inducer,CYP2C8
DB00615,P11712,inducer,CYP2C9
DB00615,P08684,substrate,CYP3A4
DB00615,P08684,inducer,CYP3A4
DB00617,O43497,blocker,CACNA1G
DB00617,Q9P0X4,inhibitor,CACNA1I
DB00617,P05181,substrate,CYP2E1
DB00617,P08684,substrate,CYP3A4
DB00617,P11712,substrate,CYP2C9
DB00617,P10632,substrate,CYP2C8
DB00618,P30518,inhibitor,AVPR2
DB00619,P11274,inhibitor,BCR
DB00619,Q07820,other/unknown,MCL1
DB00619,P10721,antagonist,KIT
DB00619,P07949,inhibitor,RET
DB00619,P16234,antagonist,PDGFRA
DB00619,P00519,inhibitor,ABL1
DB00619,P09619,antagonist,PDGFRB
DB00619,P04629,antagonist,NTRK1
DB00619,P07333,antagonist,CSF1R
DB00619,Q08345,antagonist,DDR1
DB00619,Q16832,antagonist,DDR2
DB00619,P08684,substrate,CYP3A4
DB00619,P08684,inhibitor,CYP3A4
DB00619,P20815,substrate,CYP3A5
DB00619,P20815,inhibitor,CYP3A5
DB00619,P24462,substrate,CYP3A7
DB00619,P24462,inhibitor,CYP3A7
DB00619,P05177,substrate,CYP1A2
DB00619,P11712,substrate,CYP2C9
DB00619,P11712,inhibitor,CYP2C9
DB00619,P10635,substrate,CYP2D6
DB00619,P10635,inhibitor,CYP2D6
DB00619,P33261,substrate,CYP2C19
DB00619,P10632,substrate,CYP2C8
DB00620,P04150,agonist,NR3C1
DB00620,P08684,substrate,CYP3A4
DB00620,P08684,inducer,CYP3A4
DB00620,P35354,inhibitor,PTGS2
DB00620,P06276,inducer,BCHE
DB00620,P20815,substrate,CYP3A5
DB00620,P20815,inducer,CYP3A5
DB00620,P24462,substrate,CYP3A7
DB00620,P24462,inducer,CYP3A7
DB00621,P10275,agonist,AR
DB00621,P11712,inhibitor,CYP2C9
DB00622,Q13936,inhibitor,CACNA1C
DB00622,Q08289,inhibitor,CACNB2
DB00622,P54289,inhibitor,CACNA2D1
DB00622,Q01668,inhibitor,CACNA1D
DB00622,P54750,inhibitor,PDE1A
DB00622,Q01064,inhibitor,PDE1B
DB00622,P35348,antagonist,ADRA1A
DB00622,P35368,antagonist,ADRA1B
DB00622,P25100,antagonist,ADRA1D
DB00622,P11229,antagonist,CHRM1
DB00622,P08172,antagonist,CHRM2
DB00622,P20309,antagonist,CHRM3
DB00622,P08173,antagonist,CHRM4
DB00622,P08912,antagonist,CHRM5
DB00622,Q06432,inhibitor,CACNG1
DB00622,O43497,inhibitor,CACNA1G
DB00622,O95180,inhibitor,CACNA1H
DB00622,Q9P0X4,inhibitor,CACNA1I
DB00622,P0DP23,other/unknown,CALM1
DB00622,P08684,substrate,CYP3A4
DB00622,P08684,inhibitor,CYP3A4
DB00622,P10635,inhibitor,CYP2D6
DB00622,P33261,inhibitor,CYP2C19
DB00622,P10632,substrate,CYP2C8
DB00622,P10632,inhibitor,CYP2C8
DB00622,P20813,inducer,CYP2B6
DB00622,P05181,substrate,CYP2E1
DB00622,P20815,inhibitor,CYP3A5
DB00622,P11712,inhibitor,CYP2C9
DB00623,P28222,modulator,HTR1B
DB00623,P14416,antagonist,DRD2
DB00623,P21728,antagonist,DRD1
DB00623,P0DP23,inhibitor,CALM1
DB00623,P05181,inhibitor,CYP2E1
DB00623,P10635,inhibitor,CYP2D6
DB00624,P10275,agonist,AR
DB00624,P03372,inhibitor,ESR1
DB00624,P08235,ligand,NR3C2
DB00624,P08684,substrate,CYP3A4
DB00624,P08684,inducer,CYP3A4
DB00624,P20815,substrate,CYP3A5
DB00624,P24462,substrate,CYP3A7
DB00624,Q9HB55,substrate,CYP3A43
DB00624,P11511,substrate,CYP19A1
DB00624,P21397,inducer,MAOA
DB00624,P05108,inhibitor,CYP11A1
DB00624,P04798,substrate,CYP1A1
DB00624,Q16678,substrate,CYP1B1
DB00624,Q16696,substrate,CYP2A13
DB00624,P20813,substrate,CYP2B6
DB00624,P33261,substrate,CYP2C19
DB00624,P11712,substrate,CYP2C9
DB00624,P10632,substrate,CYP2C8
DB00625,P03366,modulator,gag-pol
DB00625,Q72547,inhibitor,pol
DB00625,P33261,inducer,CYP2C19
DB00625,P11712,inhibitor,CYP2C9
DB00625,P20813,substrate,CYP2B6
DB00625,P20813,inducer,CYP2B6
DB00625,P08684,substrate,CYP3A4
DB00625,P08684,inhibitor,CYP3A4
DB00625,P08684,inducer,CYP3A4
DB00625,P20815,inducer,CYP3A5
DB00625,P24462,inducer,CYP3A7
DB00625,P05177,substrate,CYP1A2
DB00625,P05177,inhibitor,CYP1A2
DB00625,P10635,inhibitor,CYP2D6
DB00625,P10632,inhibitor,CYP2C8
DB00625,P22309,inducer,UGT1A1
DB00626,P14735,inhibitor,IDE
DB00626,P01023,inhibitor,A2M
DB00627,P49019,agonist,HCAR3
DB00627,Q96PD7,inhibitor,DGAT2
DB00627,Q8TDS4,agonist,HCAR2
DB00627,Q15274,binder,QPRT
DB00627,P40261,binder,NNMT
DB00627,P10635,inhibitor,CYP2D6
DB00627,P08684,inhibitor,CYP3A4
DB00627,P05181,inhibitor,CYP2E1
DB00628,P14867,positive allosteric modulator,GABRA1
DB00628,P30536,modulator,TSPO
DB00628,P14867,ligand,GABRA1
DB00628,P08684,substrate,CYP3A4
DB00629,P08913,agonist,ADRA2A
DB00629,P18089,binder,ADRA2B
DB00629,P05177,substrate,CYP1A2
DB00630,P14324,inhibitor,FDPS
DB00630,P29074,inhibitor,PTPN4
DB00630,Q13332,inhibitor,PTPRS
DB00630,P23469,inhibitor,PTPRE
DB00630,P38606,inhibitor,ATP6V1A
DB00631,Q7LG56,inhibitor,RRM2B
DB00631,P31350,inhibitor,RRM2
DB00631,P09884,inhibitor,POLA1
DB00631,P23921,inhibitor,RRM1
DB00631,P27707,substrate,DCK
DB00633,P08913,agonist,ADRA2A
DB00633,P05181,substrate,CYP2E1
DB00633,P05177,inhibitor,CYP1A2
DB00633,P04798,inhibitor,CYP1A1
DB00633,P10635,inhibitor,CYP2D6
DB00634,P0AC13,inhibitor,folP
DB00634,P0C002,inhibitor,sulI
DB00634,P53848,inhibitor,FOL1
DB00635,P04150,agonist,NR3C1
DB00635,P33261,inducer,CYP2C19
DB00635,P20815,inducer,CYP3A5
DB00635,P08684,inducer,CYP3A4
DB00635,P11509,inducer,CYP2A6
DB00635,Q16678,inducer,CYP1B1
DB00635,P20813,inducer,CYP2B6
DB00635,P10632,inducer,CYP2C8
DB00635,P11712,inducer,CYP2C9
DB00635,P28845,substrate,HSD11B1
DB00635,P08684,substrate,CYP3A4
DB00635,P08684,inducer,CYP3A4
DB00636,Q07869,agonist,PPARA
DB00636,P06858,activator,LPL
DB00636,P04798,inducer,CYP1A1
DB00636,Q02928,substrate,CYP4A11
DB00636,Q02928,inducer,CYP4A11
DB00636,P08684,substrate,CYP3A4
DB00636,P08684,inducer,CYP3A4
DB00636,P09210,inhibitor,GSTA2
DB00636,P05181,inducer,CYP2E1
DB00637,P35367,antagonist,HRH1
DB00637,Q12809,inhibitor,KCNH2
DB00637,P08684,substrate,CYP3A4
DB00637,P08684,inhibitor,CYP3A4
DB00637,P20815,substrate,CYP3A5
DB00637,P24462,substrate,CYP3A7
DB00637,P10635,substrate,CYP2D6
DB00637,P51589,substrate,CYP2J2
DB00639,P10613,inhibitor,ERG11
DB00640,P30542,agonist,ADORA1
DB00640,P29274,agonist,ADORA2A
DB00640,P29275,agonist,ADORA2B
DB00640,P0DMS8,agonist,ADORA3
DB00640,P00568,substrate,AK1
DB00640,P15531,substrate,NME1
DB00640,P22392,substrate,NME2
DB00640,P00491,substrate,PNP
DB00640,P47989,substrate,XDH
DB00640,P00813,substrate,ADA
DB00640,P55263,substrate,ADK
DB00641,P04035,inhibitor,HMGCR
DB00641,P20701,inhibitory allosteric modulator,ITGAL
DB00641,Q92769,inhibitor,HDAC2
DB00641,P08684,substrate,CYP3A4
DB00641,P20815,substrate,CYP3A5
DB00641,P10632,substrate,CYP2C8
DB00641,P10632,inhibitor,CYP2C8
DB00641,P11712,inhibitor,CYP2C9
DB00641,P10635,substrate,CYP2D6
DB00641,P20813,inhibitor,CYP2B6
DB00641,P20813,inducer,CYP2B6
DB00641,P22309,substrate,UGT1A1
DB00641,P35503,substrate,UGT1A3
DB00641,P16662,substrate,UGT2B7
DB00641,P33261,substrate,CYP2C19
DB00641,O00748,inhibitor,CES2
DB00641,P23141,inhibitor,CES1
DB00642,P04818,inhibitor,TYMS
DB00642,P12461,inhibitor,TMP1
DB00642,P31939,inhibitor,ATIC
DB00642,P00374,inhibitor,DHFR
DB00642,P22102,inhibitor,GART
DB00642,Q99808,inducer,SLC29A1
DB00642,P27707,inducer,DCK
DB00643,Q71U36,inhibitor,TUBA1A
DB00643,P68371,inhibitor,TUBB4B
DB00643,P04798,inducer,CYP1A1
DB00643,P08684,substrate,CYP3A4
DB00645,Q9Y5Y9,inhibitor,SCN10A
DB00645,Q14524,blocker,SCN5A
DB00647,P35372,agonist,OPRM1
DB00647,P41143,agonist,OPRD1
DB00647,P41145,antagonist,OPRK1
DB00647,Q05586,antagonist,GRIN1
DB00647,P10635,substrate,CYP2D6
DB00647,P10635,inhibitor,CYP2D6
DB00647,P08684,substrate,CYP3A4
DB00647,P08684,inhibitor,CYP3A4
DB00647,P08684,inhibitor,CYP3A4
DB00647,P06133,inhibitor,UGT2B4
DB00648,P15538,inducer,CYP11B1
DB00648,P03372,binder,ESR1
DB00648,P10275,antagonist,AR
DB00648,P08684,inducer,CYP3A4
DB00648,P20815,inducer,CYP3A5
DB00648,P24462,inducer,CYP3A7
DB00649,P03366,inhibitor,gag-pol
DB00649,Q72547,inhibitor,pol
DB00650,Q96NT5,modulator,SLC46A1
DB00650,P00374,modulator,DHFR
DB00651,Q07343,inhibitor,PDE4B
DB00651,P21589,inhibitor,NT5E
DB00651,P27815,inhibitor,PDE4A
DB00651,Q08493,inhibitor,PDE4C
DB00651,Q08499,inhibitor,PDE4D
DB00651,P30542,antagonist,ADORA1
DB00651,P29274,antagonist,ADORA2A
DB00652,Q99720,agonist,SIGMAR1
DB00652,P35372,antagonist,OPRM1
DB00652,P41145,agonist,OPRK1
DB00653,Q13936,inhibitor,CACNA1C
DB00653,Q13936,blocker,CACNA1C
DB00654,P43088,agonist,PTGFR
DB00655,P03372,agonist,ESR1
DB00655,P08684,substrate,CYP3A4
DB00655,Q16678,substrate,CYP1B1
DB00655,P20813,substrate,CYP2B6
DB00655,P11712,substrate,CYP2C9
DB00655,P05181,substrate,CYP2E1
DB00655,P20815,substrate,CYP3A5
DB00655,P05177,substrate,CYP1A2
DB00655,P04798,substrate,CYP1A1
DB00656,P28223,antagonist,HTR2A
DB00656,P28335,agonist,HTR2C
DB00656,P31645,inhibitor,SLC6A4
DB00656,P08908,antagonist,HTR1A
DB00656,P08908,partial agonist,HTR1A
DB00656,P35367,antagonist,HRH1
DB00656,P35348,antagonist,ADRA1A
DB00656,P08913,antagonist,ADRA2A
DB00656,P08909,antagonist,Htr2c
DB00656,P08909,partial agonist,Htr2c
DB00656,P08684,substrate,CYP3A4
DB00656,P20815,substrate,CYP3A5
DB00656,P24462,substrate,CYP3A7
DB00656,P10635,substrate,CYP2D6
DB00656,P10635,inhibitor,CYP2D6
DB00657,Q15822,antagonist,CHRNA2
DB00661,Q13936,inhibitor,CACNA1C
DB00661,Q00975,inhibitor,CACNA1B
DB00661,O00555,inhibitor,CACNA1A
DB00661,Q14654,inhibitor,KCNJ11
DB00661,O43497,inhibitor,CACNA1G
DB00661,O95180,inhibitor,CACNA1H
DB00661,Q12809,inhibitor,KCNH2
DB00661,P35348,antagonist,ADRA1A
DB00661,P35368,antagonist,ADRA1B
DB00661,P25100,antagonist,ADRA1D
DB00661,Q06432,inhibitor,CACNG1
DB00661,P08183,inhibitor,ABCB1
DB00661,P08183,blocker,ABCB1
DB00661,P08684,substrate,CYP3A4
DB00661,P08684,inhibitor,CYP3A4
DB00661,P05177,substrate,CYP1A2
DB00661,P10632,substrate,CYP2C8
DB00661,P10632,inhibitor,CYP2C8
DB00661,P11712,substrate,CYP2C9
DB00661,P11712,inhibitor,CYP2C9
DB00661,P33260,substrate,CYP2C18
DB00661,P20815,substrate,CYP3A5
DB00661,P20815,inhibitor,CYP3A5
DB00661,P20813,substrate,CYP2B6
DB00661,P20813,activator,CYP2B6
DB00661,P33261,substrate,CYP2C19
DB00661,P10635,inhibitor,CYP2D6
DB00661,P05181,substrate,CYP2E1
DB00662,P14416,inhibitor,DRD2
DB00663,P04150,agonist,NR3C1
DB00663,O95718,modulator,ESRRB
DB00663,P62508,modulator,ESRRG
DB00663,P11474,modulator,ESRRA
DB00663,P08684,substrate,CYP3A4
DB00664,Q27738,inhibitor,
DB00664,P0AC13,inhibitor,folP
DB00665,P10275,antagonist,AR
DB00665,P33261,substrate,CYP2C19
DB00665,P33261,inhibitor,CYP2C19
DB00665,P16435,substrate,POR
DB00666,P30968,agonist,GNRHR
DB00666,Q96P88,agonist,GNRHR2
DB00668,P35348,agonist,ADRA1A
DB00668,P35368,agonist,ADRA1B
DB00668,P08588,agonist,ADRB1
DB00668,P07550,agonist,ADRB2
DB00668,P08913,agonist,ADRA2A
DB00668,P18089,agonist,ADRA2B
DB00668,P25100,antagonist,ADRA1D
DB00668,P01375,antagonist,TNF
DB00668,P01375,agonist,TNF
DB00668,P11712,inhibitor,CYP2C9
DB00668,P08684,inhibitor,CYP3A4
DB00668,P21964,substrate,COMT
DB00668,P21397,substrate,MAOA
DB00669,P08908,agonist,HTR1A
DB00669,P28221,agonist,HTR1D
DB00669,P28222,agonist,HTR1B
DB00669,P30939,agonist,HTR1F
DB00669,P21397,substrate,MAOA
DB00670,P11229,antagonist,CHRM1
DB00671,P0AEB2,inhibitor,dacA
DB00672,Q09428,inhibitor,ABCC8
DB00672,P78508,blocker,KCNJ10
DB00672,P11712,substrate,CYP2C9
DB00672,P33261,substrate,CYP2C19
DB00672,P23219,substrate,PTGS1
DB00673,P25103,antagonist,TACR1
DB00673,P08684,substrate,CYP3A4
DB00673,P08684,inhibitor,CYP3A4
DB00673,P08684,inducer,CYP3A4
DB00673,P33261,substrate,CYP2C19
DB00673,P33261,inhibitor,CYP2C19
DB00673,P11712,inhibitor,CYP2C9
DB00673,P11712,inducer,CYP2C9
DB00674,P22303,inhibitor,ACHE
DB00674,P36544,allosteric modulator,CHRNA7
DB00674,A9X444,allosteric modulator,
DB00674,P06276,inhibitor,BCHE
DB00674,P08684,substrate,CYP3A4
DB00674,P10635,substrate,CYP2D6
DB00675,P03372,antagonist,ESR1
DB00675,P03372,agonist,ESR1
DB00675,Q92731,antagonist,ESR2
DB00675,Q92731,agonist,ESR2
DB00675,P17252,inhibitor,PRKCA
DB00675,P04278,inducer,SHBG
DB00675,Q15125,inhibitor,EBP
DB00675,Q12809,inhibitor,KCNH2
DB00675,P45983,modulator,MAPK8
DB00675,P10635,substrate,CYP2D6
DB00675,P10635,inhibitor,CYP2D6
DB00675,P08684,substrate,CYP3A4
DB00675,P08684,inhibitor,CYP3A4
DB00675,P08684,inducer,CYP3A4
DB00675,P20815,substrate,CYP3A5
DB00675,P24462,substrate,CYP3A7
DB00675,P11712,substrate,CYP2C9
DB00675,P11712,inhibitor,CYP2C9
DB00675,P33261,substrate,CYP2C19
DB00675,P20813,substrate,CYP2B6
DB00675,P20813,inhibitor,CYP2B6
DB00675,P04798,substrate,CYP1A1
DB00675,Q16678,substrate,CYP1B1
DB00675,Q16678,inhibitor,CYP1B1
DB00675,Q01740,substrate,FMO1
DB00675,P31513,substrate,FMO3
DB00675,P10632,inhibitor,CYP2C8
DB00675,P23141,inhibitor,CES1
DB00675,P11511,inhibitor,CYP19A1
DB00675,P11509,substrate,CYP2A6
DB00675,P05181,substrate,CYP2E1
DB00675,Q9HAW8,substrate,UGT1A10
DB00675,P50225,substrate,SULT1A1
DB00675,Q06520,substrate,SULT2A1
DB00675,P05177,substrate,CYP1A2
DB00675,P16662,substrate,UGT2B7
DB00675,O75795,substrate,UGT2B17
DB00675,P49888,substrate,SULT1E1
DB00677,P22303,inhibitor,ACHE
DB00677,P06276,inhibitor,BCHE
DB00677,P06276,inhibitor,BCHE
DB00678,P19235,stimulator,EPOR
DB00678,P30556,antagonist,AGTR1
DB00678,P11712,substrate,CYP2C9
DB00678,P08684,substrate,CYP3A4
DB00678,P08684,inhibitor,CYP3A4
DB00678,P33261,inhibitor,CYP2C19
DB00678,P22309,substrate,UGT1A1
DB00678,P35503,substrate,UGT1A3
DB00678,Q9HAW8,substrate,UGT1A10
DB00678,P16662,substrate,UGT2B7
DB00678,O75795,substrate,UGT2B17
DB00678,P10632,inhibitor,CYP2C8
DB00679,P14416,antagonist,DRD2
DB00679,P21728,antagonist,DRD1
DB00679,P35348,antagonist,ADRA1A
DB00679,P35368,antagonist,ADRA1B
DB00679,P28223,antagonist,HTR2A
DB00679,Q12809,inhibitor,KCNH2
DB00679,P05181,inhibitor,CYP2E1
DB00679,P10635,substrate,CYP2D6
DB00679,P10635,inhibitor,CYP2D6
DB00679,P33261,substrate,CYP2C19
DB00680,Q14524,inhibitor,SCN5A
DB00682,Q9BQB6,inhibitor,VKORC1
DB00682,P11712,substrate,CYP2C9
DB00682,P11712,inducer,CYP2C9
DB00682,P05177,substrate,CYP1A2
DB00682,P33261,substrate,CYP2C19
DB00682,P33261,inhibitor,CYP2C19
DB00682,P08684,substrate,CYP3A4
DB00682,P08684,inducer,CYP3A4
DB00682,P10632,substrate,CYP2C8
DB00682,P33260,substrate,CYP2C18
DB00683,P30536,modulator,TSPO
DB00683,P14867,positive allosteric modulator,GABRA1
DB00683,P14867,ligand,GABRA1
DB00683,P29274,potentiator,ADORA2A
DB00683,P08684,substrate,CYP3A4
DB00683,P08684,inhibitor,CYP3A4
DB00683,P22310,substrate,UGT1A4
DB00683,P20815,substrate,CYP3A5
DB00683,P24462,substrate,CYP3A7
DB00683,P16662,substrate,UGT2B7
DB00683,P06133,substrate,UGT2B4
DB00685,P43700,inhibitor,gyrA
DB00685,P0A0K8,modulator,gyrB
DB00685,P20831,modulator,gyrA
DB00685,P43702,inhibitor,parC
DB00685,P11388,inhibitor,TOP2A
DB00685,P05177,inhibitor,CYP1A2
DB00686,P09038,antagonist,FGF2
DB00686,P05230,antagonist,FGF1
DB00686,P08620,inhibitor,FGF4
DB00687,P10275,inhibitor,AR
DB00687,P08235,agonist,NR3C2
DB00687,P04150,agonist,NR3C1
DB00687,P08684,substrate,CYP3A4
DB00687,P80365,substrate,HSD11B2
DB00687,P28845,substrate,HSD11B1
DB00688,P43116,modulator,PTGER2
DB00688,P20839,inhibitor,IMPDH1
DB00688,P20839,inducer,IMPDH1
DB00688,P12268,inhibitor,IMPDH2
DB00688,Q03393,inhibitor,PTS
DB00688,Q9HAW7,substrate,UGT1A7
DB00688,P19224,substrate,UGT1A6
DB00688,O60656,substrate,UGT1A9
DB00688,P16662,substrate,UGT2B7
DB00688,Q9HAW9,substrate,UGT1A8
DB00688,Q9HAW8,substrate,UGT1A10
DB00688,P23141,substrate,CES1
DB00688,P08684,substrate,CYP3A4
DB00688,P20815,substrate,CYP3A5
DB00688,P10632,substrate,CYP2C8
DB00688,Q6IPK9,substrate,CES2
DB00688,P22309,substrate,UGT1A1
DB00689,P02919,antagonist,mrcB
DB00690,P30536,modulator,TSPO
DB00690,P14867,positive allosteric modulator,GABRA1
DB00690,P14867,ligand,GABRA1
DB00690,P08684,substrate,CYP3A4
DB00690,P05181,inhibitor,CYP2E1
DB00690,P11509,substrate,CYP2A6
DB00691,P12821,inhibitor,ACE
DB00692,P35348,antagonist,ADRA1A
DB00692,P14416,antagonist,DRD2
DB00692,P08913,antagonist,ADRA2A
DB00692,Q14654,blocker,KCNJ11
DB00694,P11388,inhibitor,TOP2A
DB00694,Q02880,inhibitor,TOP2B
DB00694,P08684,substrate,CYP3A4
DB00694,P08684,inhibitor,CYP3A4
DB00694,P20815,inducer,CYP3A5
DB00694,P16435,substrate,POR
DB00694,P16435,inducer,POR
DB00694,Q16678,inhibitor,CYP1B1
DB00694,P15121,substrate,AKR1B1
DB00694,P16152,substrate,CBR1
DB00694,O75828,substrate,CBR3
DB00695,Q13621,inhibitor,SLC12A1
DB00695,P00918,inhibitor,CA2
DB00695,Q9HC97,agonist,GPR35
DB00695,P52209,inhibitor,PGD
DB00695,P22309,substrate,UGT1A1
DB00696,P28221,agonist,HTR1D
DB00696,P28222,agonist,HTR1B
DB00696,P28223,agonist,HTR2A
DB00696,P35348,partial agonist,ADRA1A
DB00696,P35368,partial agonist,ADRA1B
DB00696,P25100,partial agonist,ADRA1D
DB00696,P14416,agonist,DRD2
DB00696,P08913,partial agonist,ADRA2A
DB00696,P21728,agonist,DRD1
DB00696,P08908,agonist,HTR1A
DB00696,P30939,agonist,HTR1F
DB00696,P28335,agonist,HTR2C
DB00696,P08684,substrate,CYP3A4
DB00696,P08684,inhibitor,CYP3A4
DB00697,P35348,agonist,ADRA1A
DB00697,P08913,agonist,ADRA2A
DB00697,Q9Y2I1,agonist,NISCH
DB00697,P05177,substrate,CYP1A2
DB00698,P52647,potentiator,ydbK
DB00698,P17117,potentiator,nfsA
DB00698,P0A7R5,inhibitor,rpsJ
DB00698,P16435,substrate,POR
DB00699,P35348,antagonist,ADRA1A
DB00699,P10635,substrate,CYP2D6
DB00700,P08235,antagonist,NR3C2
DB00700,P19099,inhibitor,CYP11B2
DB00700,P08684,substrate,CYP3A4
DB00700,P20815,substrate,CYP3A5
DB00701,Q72874,inhibitor,pol
DB00701,P03366,inhibitor,gag-pol
DB00701,P20813,inhibitor,CYP2B6
DB00701,P33261,inhibitor,CYP2C19
DB00701,P11712,substrate,CYP2C9
DB00701,P10635,substrate,CYP2D6
DB00701,P20815,substrate,CYP3A5
DB00701,P08684,substrate,CYP3A4
DB00701,P08684,inhibitor,CYP3A4
DB00701,P08684,inducer,CYP3A4
DB00703,P00915,inhibitor,CA1
DB00703,P22748,inhibitor,CA4
DB00703,P00918,inhibitor,CA2
DB00703,P43166,inhibitor,CA7
DB00703,P07451,inhibitor,CA3
DB00704,P35372,antagonist,OPRM1
DB00704,P41145,antagonist,OPRK1
DB00704,P41143,antagonist,OPRD1
DB00704,P22309,substrate,UGT1A1
DB00705,P03366,modulator,gag-pol
DB00705,Q72547,inhibitor,pol
DB00705,P08684,substrate,CYP3A4
DB00705,P08684,inhibitor,CYP3A4
DB00705,P10635,substrate,CYP2D6
DB00705,P10635,inhibitor,CYP2D6
DB00705,P20815,inhibitor,CYP3A5
DB00705,P24462,inhibitor,CYP3A7
DB00705,P11712,inhibitor,CYP2C9
DB00705,P33261,inhibitor,CYP2C19
DB00706,P35348,antagonist,ADRA1A
DB00706,P25100,antagonist,ADRA1D
DB00706,P35368,antagonist,ADRA1B
DB00706,P10635,substrate,CYP2D6
DB00706,P08684,substrate,CYP3A4
DB00708,P35372,agonist,OPRM1
DB00708,P41143,agonist,OPRD1
DB00708,P08684,substrate,CYP3A4
DB00709,P03366,modulator,gag-pol
DB00709,Q72547,inhibitor,pol
DB00709,Q05486,inhibitor,P
DB00709,P27707,substrate,DCK
DB00709,P30085,substrate,CMPK1
